ID,Latitude,Longitude,Nama_warung,Alamat,Halal,Area_merokok,Harga,Tempat_parkir,Masakan,Makanan,Jenis_warung,Makan_ditempat,Rating,Review,Gambar,kriteria
183,-7.785627099999999,110.3997744,Warung Nyoman,"Jl. Nogorojo No.5a, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Murah,off_street_parking,"Bali,Indonesia","Sate,Nasi Campur",Quick Bites,Dine-in/Takeaway,4.8,43,AF1QipNSLK4uEkAkqXdCqHfvtJnWHNVQKM4kjJPYJMnf=s846-k-no,halal Ada Murah off_street_parking
184,-7.727997200000001,110.41121670000001,"Bakso, Mie Ayam & Soto Palgading","Masuk Gapura Desa Wisata, Palgading, Minomartani, Kec. Ngaglik, Kabupaten Sleman",halal,Ada,Murah,off_street_parking,"Jawa,Indonesia","Soto,Bakso,Mie Ayam","Restoran kasual,Quick Bites",Dine-in/Takeaway,4.5,320,AF1QipPJz4EQxWW9Ffq8Dggth9O5a6MwmflpdPv9CQLL=s508-k-no,halal Ada Murah off_street_parking
185,-7.7750902,110.4355895,Rica-rica D'setan,"GG. ANGGREK NMR 57, Ringinsari, Maguwoharjo, Kec. Depok, Kota Yogyakarta",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia",Ayam,Quick Bites,Dine-in/Takeaway,5.0,2,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/2c012c20-3641-4075-94f7-61e03ab56,halal Ada Murah on_street_parking
186,-7.7317982999999995,110.3909428,Lotek mania 2,"Jl. Sunan Muria, Jaban, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia",Lotek,Quick Bites,Dine-in/Takeaway,4.9,51,AF1QipOvvdViPUsL1B4bugP4nMkLEKyrw3hrCb10zaIf=s644-k-no,halal Ada Murah on_street_parking
187,-7.7776819,110.3849896,Ayam Geprek & Susu (Preksu),"Jl. Samironobaru No.1C, Samirono, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia,Yogyakarta",Ayam Geprek,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.4,4060,AF1QipM5Q48N5qnSj0kQxwn7_idWB4BsVu2L64eyTy4w=s644-k-no,halal Ada Murah on_street_parking
188,-7.769484200000001,110.40585459999998,Kopi Soe,"Jl. Perumnas Seturan No.223, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Tidak,Menengah,on_street_parking,"Eropa,Indonesia,Kafe,Fusion",Kopi,Kafe,Dine-in/Takeaway,4.7,236,AF1QipO5nDr9CqP9R8EW8zv3W2Jf-RFevp-7adGGXFP-=s508-k-no,halal Tidak Menengah on_street_parking
189,-7.7459087,110.3795844,Soto Rizquna,"Jl. Mulia, Sedan, Sariharjo, Kec. Mlati, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia",Soto,Quick Bites,Dine-in/Takeaway,4.4,35,AF1QipPnzTM694ZcESs-A2Gs6RecgMHfLfuhmlD58fNm=s423-k-no,halal Ada Murah on_street_parking
190,-7.7812095,110.3876382,Lakku Coffee,"Jl. Kepuh GK III, Klitren, Kec. Gondokusuman, Kota Yogyakarta",halal,Ada,Menengah,on_street_parking,"Bali,Eropa,Jawa,Indonesia,Kafe,Fusion",Kopi,"Kafe,Restoran kasual",Dine-in/Takeaway,4.7,101,AF1QipNfe4Bl3LB1cCsVxZ2McfQJIVWbWZ-HZHKu6jsu=s508-k-no,halal Ada Menengah on_street_parking
191,-7.7773213000000005,110.38413440000001,A&M Co Sushi Express,"Jl. Colombo Yogyakarta Jl. Karangmalang, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Tidak,Mahal,on_street_parking,"Eropa,Jepang,Fusion",Sushi,Restoran kasual,Dine-in/Takeaway,4.6,308,AF1QipN8voQjz4-lWY1BLjEAUleF0y5Rv518YQDMrnIq=s544-k-no,halal Tidak Mahal on_street_parking
192,-7.7557921,110.3771706,Kulit Emak,"Pogung Lor, Sinduadi, Kec. Mlati, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia",Penyetan Ayam,Quick Bites,Dine-in/Takeaway,4.5,197,AF1QipMd4A2sqppjkoSCLe-UagjJ_SDMUtbU38qFxuBS=s476-k-no,halal Ada Murah on_street_parking
